bet_number,bet_side,model_prob,edge,bet_amount,profit,result
318,home,0.8226766,0.3226766,100,100,win
319,away,0.2867675,0.21323252,100,-100,loss
320,home,0.8046721,0.30467212,100,100,win
321,away,0.2844931,0.21550691,100,100,win
322,home,0.52485806,0.024858057,100,-100,loss
324,away,0.17151581,0.32848418,100,-100,loss
325,home,0.6719702,0.17197019,100,100,win
326,home,0.8192037,0.31920367,100,100,win
327,away,0.21831454,0.28168547,100,100,win
328,home,0.9219639,0.42196387,100,100,win
329,home,0.6070678,0.10706782,100,100,win
330,away,0.091496214,0.40850377,100,100,win
331,away,0.29372934,0.2062707,100,100,win
332,away,0.4182017,0.081798315,100,-100,loss
333,home,0.58800215,0.088002145,100,100,win
334,home,0.8682799,0.36827987,100,100,win
335,away,0.23742583,0.2625742,100,100,win
336,away,0.30735227,0.1926477,100,100,win
337,away,0.4090131,0.09098691,100,100,win
338,home,0.953059,0.45305902,100,-100,loss
339,home,0.66593957,0.16593957,100,-100,loss
340,away,0.072563365,0.42743665,100,-100,loss
341,home,0.5664031,0.06640309,100,-100,loss
342,home,0.5658239,0.06582391,100,-100,loss
343,away,0.071107976,0.42889202,100,100,win
344,away,0.0902356,0.4097644,100,100,win
345,home,0.7038127,0.20381272,100,100,win
346,home,0.8852118,0.38521183,100,100,win
347,away,0.47524488,0.02475512,100,-100,loss
348,home,0.9548992,0.4548992,100,100,win
349,home,0.77520484,0.27520484,100,-100,loss
350,away,0.22076428,0.27923572,100,100,win
351,away,0.4384426,0.061557412,100,-100,loss
352,home,0.5951766,0.09517658,100,100,win
353,home,0.95510226,0.45510226,100,-100,loss
354,away,0.3029353,0.1970647,100,100,win
355,home,0.81980556,0.31980556,100,-100,loss
356,home,0.84545374,0.34545374,100,100,win
357,away,0.28678426,0.21321571,100,100,win
358,away,0.1464239,0.35357606,100,100,win
359,home,0.7235455,0.22354549,100,100,win
360,home,0.95392615,0.45392615,100,100,win
361,away,0.46559003,0.03441,100,-100,loss
362,home,0.919764,0.41976398,100,-100,loss
363,home,0.8924547,0.39245468,100,100,win
364,home,0.8592137,0.3592137,100,100,win
365,away,0.17094678,0.32905322,100,100,win
366,home,0.97518957,0.47518957,100,100,win
367,away,0.03841899,0.461581,100,100,win
368,home,0.9090647,0.4090647,100,100,win
369,home,0.9470887,0.44708872,100,100,win
370,home,0.8432864,0.3432864,100,100,win
371,home,0.6413394,0.14133942,100,100,win
372,away,0.22369437,0.27630562,100,100,win
373,home,0.9257811,0.42578107,100,-100,loss
374,away,0.251941,0.24805903,100,100,win
375,away,0.24350339,0.2564966,100,100,win
376,home,0.84863013,0.34863013,100,100,win
377,away,0.23128493,0.26871508,100,100,win
378,away,0.12474111,0.37525892,100,100,win
379,away,0.28808674,0.21191323,100,-100,loss
381,home,0.5984596,0.0984596,100,-100,loss
382,home,0.919601,0.41960102,100,-100,loss
383,away,0.3320331,0.1679669,100,100,win
385,away,0.1787886,0.3212114,100,100,win
386,away,0.22052373,0.27947628,100,100,win
387,home,0.6494522,0.14945221,100,100,win
388,home,0.98743236,0.48743236,100,100,win
389,home,0.83660984,0.33660984,100,-100,loss
390,home,0.94608486,0.44608486,100,100,win
391,home,0.93247586,0.43247586,100,100,win
392,home,0.9654976,0.4654976,100,-100,loss
393,away,0.4400233,0.059976697,100,100,win
394,home,0.7409449,0.24094492,100,100,win
395,home,0.87183934,0.37183934,100,-100,loss
396,home,0.8202358,0.3202358,100,-100,loss
397,away,0.13177249,0.36822748,100,100,win
398,away,0.13272569,0.36727428,100,100,win
399,home,0.5538504,0.053850412,100,100,win
400,home,0.5574085,0.05740851,100,100,win
401,home,0.6916073,0.1916073,100,-100,loss
402,home,0.754392,0.25439203,100,100,win
403,home,0.66889787,0.16889787,100,100,win
404,away,0.24574867,0.25425136,100,100,win
405,away,0.23562504,0.26437497,100,100,win
407,home,0.6056529,0.10565293,100,100,win
408,away,0.19506513,0.30493486,100,100,win
409,away,0.10218634,0.39781368,100,-100,loss
