number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_std_logloss,state
153,0.6591984115762047,2025-12-10 15:48:16.977286,2025-12-10 15:48:19.186867,0 days 00:00:02.209581,0.7910179982196481,0.7564037904300013,0.6498620336971365,0.7899436319346806,0.01562876664223586,10,9,89,3714,0.31646062872523334,0.009879208994936835,1.0214271102802746,0.7147061885659464,347,0.00499550908883737,COMPLETE
154,0.6591981858981029,2025-12-10 15:48:19.188870,2025-12-10 15:48:21.616985,0 days 00:00:02.428115,0.8548456723546317,0.9172282890280549,0.636071389674039,1.7166353960030265,0.011479104393605557,1,9,64,3505,0.19421138494879892,0.01252374478936524,0.9926749138919168,0.7665714331861303,313,0.004541951635896912,COMPLETE
155,0.6600956684569882,2025-12-10 15:48:21.618988,2025-12-10 15:48:22.281948,0 days 00:00:00.662960,0.8019255205213902,0.7760080646674488,0.6118303406238,0.30540399799283247,0.06900832144391197,9,8,81,3409,0.11831862631142143,0.019376487822117237,1.044360516175422,0.44788489918515256,68,0.0029568355482995946,COMPLETE
156,0.658774024775046,2025-12-10 15:48:22.283952,2025-12-10 15:48:24.699870,0 days 00:00:02.415918,0.40045657977400906,0.813836830577323,0.6021936477734338,1.1821099905763541,0.014224182628737632,9,10,41,3278,0.5175162123340482,0.004666550659007191,1.0046606919797794,0.7414419061143839,285,0.004446507010050503,COMPLETE
157,0.6597995335514089,2025-12-10 15:48:24.700870,2025-12-10 15:48:25.821651,0 days 00:00:01.120781,0.4482905052882017,0.8062856853115965,0.621954615497993,2.0924603999749425,0.039356473285145015,9,10,39,3554,0.5134971707021397,0.0005617852345914068,1.006538837369824,0.7394424718290854,101,0.0035766231414465187,COMPLETE
158,0.6591123706964895,2025-12-10 15:48:25.823662,2025-12-10 15:48:28.107259,0 days 00:00:02.283597,0.4174105672044596,0.7970274506720321,0.6003274789759946,1.2692349995925243,0.015347993547817252,9,10,50,3264,0.6085701315371485,0.005561229417303774,1.0355604797079394,0.7521092462264584,297,0.004993918335877664,COMPLETE
159,0.6589389580974481,2025-12-10 15:48:28.109261,2025-12-10 15:48:31.499432,0 days 00:00:03.390171,0.8331405555234187,0.8427791257440606,0.6605047170032623,1.4734295697548894,0.012388313067166984,0,10,44,3357,0.05016637225902213,0.0029076490763759004,1.0194353932913975,0.7308606013446853,299,0.005224971944580655,COMPLETE
160,0.6589086590421471,2025-12-10 15:48:31.501179,2025-12-10 15:48:34.495823,0 days 00:00:02.994644,0.5517347449682167,0.8178456230585532,0.673471968196488,1.7504045650984428,0.012296127222372492,8,10,68,3459,0.9832661823961389,0.002797361586977571,1.0260199025003547,0.7294315215978109,451,0.005484155681775991,COMPLETE
161,0.6584212821428622,2025-12-10 15:48:34.497826,2025-12-10 15:48:37.436479,0 days 00:00:02.938653,0.5694908024295722,0.8301628198625292,0.6787390883973466,2.358536860659881,0.012409326232983348,8,10,70,3458,1.117533335399439,0.0030180097863705827,1.0275826654232345,0.7311598915957098,459,0.0055860178598322536,COMPLETE
162,0.6593484037346546,2025-12-10 15:48:37.438481,2025-12-10 15:48:39.999268,0 days 00:00:02.560787,0.5771693867757733,0.8195722837273849,0.6607243716718358,2.3404968930858905,0.011058991148360137,8,10,67,3459,1.0171456435975392,0.002993912772723672,1.027328297278392,0.7096425418986053,392,0.004768598027185826,COMPLETE
