number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
1307,0.5517093171827716,2025-12-12 05:01:05.996004,2025-12-12 05:01:20.084757,0 days 00:00:14.088753,0.5132464275772639,0.7285571165683988,0.521385790447688,2.8559656311291532,0.011258132252858528,9,7,21,2248,10.125306074543555,0.21296037876482435,0.9066474271730252,0.5958745082559276,COMPLETE
1308,0.5524104221731203,2025-12-12 05:01:20.086771,2025-12-12 05:01:32.084606,0 days 00:00:11.997835,0.5102145768838727,0.5099190084979243,0.5190364131022637,2.9416058764661295,0.010549691194012684,9,6,22,2193,10.530861036709855,0.13707439177323175,0.900049985026868,0.570332818060006,COMPLETE
1309,0.5504490525308932,2025-12-12 05:01:32.086614,2025-12-12 05:01:46.087246,0 days 00:00:14.000632,0.5166411303089002,0.7021235725968331,0.5148506993300698,2.8739630087542434,0.011316062319198907,10,7,21,2219,9.925914106484726,0.23120619662416098,0.9109953860949713,0.56752034892232,COMPLETE
1310,0.551672733734826,2025-12-12 05:01:46.089260,2025-12-12 05:02:06.665941,0 days 00:00:20.576681,0.5211677054508194,0.5102894777317777,0.512832197840727,1.6213420453892202,0.010498525655162823,9,6,22,2346,9.23121512974924,0.1966675026729633,0.9038566961587228,0.5807588184608339,COMPLETE
1311,0.5550475966214978,2025-12-12 05:02:06.667951,2025-12-12 05:02:18.933918,0 days 00:00:12.265967,0.5085167368004315,0.5058039159015687,0.5198299490243806,2.9337292992853037,0.0112440831723129,9,6,22,2186,10.95194861162707,0.2732231257048751,0.9066256209346149,0.5249407597494595,COMPLETE
1312,0.5523562330532341,2025-12-12 05:02:18.937696,2025-12-12 05:02:31.309921,0 days 00:00:12.372225,0.51066758754075,0.5063628701303592,0.5198510888551212,2.8526122388186415,0.01080524237838605,9,6,22,2174,10.842299271286283,0.2696365672911773,0.9104877952535051,0.5269100517253408,COMPLETE
1313,0.5542698486938481,2025-12-12 05:02:31.311932,2025-12-12 05:02:44.015173,0 days 00:00:12.703241,0.5065668002090353,0.5158442720986602,0.5201359733439518,2.901209199382559,0.011197647698677593,9,8,22,2201,10.466423370690764,0.32087644791865816,0.9071800327182774,0.5267249111294846,COMPLETE
1314,0.5536976596755651,2025-12-12 05:02:44.017188,2025-12-12 05:02:56.956777,0 days 00:00:12.939589,0.509411073422767,0.5162543806899558,0.5139186333581363,2.9412948395291054,0.010474517558551754,9,6,22,2224,11.067502188406001,0.24050042954753964,0.9073992848635377,0.5346668394613724,COMPLETE
1315,0.552520490139798,2025-12-12 05:02:56.958792,2025-12-12 05:03:10.853732,0 days 00:00:13.894940,0.5141918784426371,0.5052820608008981,0.5199693833460274,2.8586948756919237,0.011241656174641108,10,6,22,2174,10.286787997400413,0.42318611016048807,0.90005675538875,0.5387288694856139,COMPLETE
1316,0.553236238981226,2025-12-12 05:03:10.855739,2025-12-12 05:03:23.392300,0 days 00:00:12.536561,0.5064126085759869,0.5105579655673473,0.5126401358999364,2.9465961531706997,0.010771940684322572,9,6,21,2270,10.622693610454615,0.17844147859157689,0.9103393791890021,0.5260149774047015,COMPLETE
1317,0.5536667491509633,2025-12-12 05:03:23.394319,2025-12-12 05:03:36.547356,0 days 00:00:13.153037,0.5147720232086885,0.505128052010018,0.5139915710244036,2.8969972294720967,0.010468386967443002,9,8,21,2206,11.29060555846796,0.5798140613960424,0.9037905420473106,0.5406538151848326,COMPLETE
1318,0.5533050990716611,2025-12-12 05:03:36.549370,2025-12-12 05:03:48.905085,0 days 00:00:12.355715,0.5059241178518377,0.5155904660868069,0.519879088594441,2.997026330750515,0.011228561855932207,9,6,21,2251,9.691428408760162,0.26881892219048686,0.9000086590000436,0.561164406957328,COMPLETE
