Date,Actual,Predicted,Model_Prob,Month
2025-01-07,1,0,0.20804268,2025-01
2025-01-07,1,1,0.5008039,2025-01
2025-01-08,1,1,0.97123384,2025-01
2025-01-08,0,0,0.061165676,2025-01
2025-01-08,0,0,0.010702347,2025-01
2025-01-08,1,1,0.9554333,2025-01
2025-01-08,1,1,0.99367356,2025-01
2025-01-08,1,1,0.9611198,2025-01
2025-01-08,1,0,0.32425755,2025-01
2025-01-08,1,1,0.94441444,2025-01
2025-01-09,1,1,0.997726,2025-01
2025-01-09,0,1,0.92710024,2025-01
2025-01-09,0,0,0.45640227,2025-01
2025-01-09,0,1,0.526746,2025-01
2025-01-09,1,1,0.85339344,2025-01
2025-01-09,1,1,0.7207322,2025-01
2025-01-09,0,1,0.8946499,2025-01
2025-01-10,1,1,0.9944278,2025-01
2025-01-10,1,1,0.9967179,2025-01
2025-01-10,0,0,0.009416165,2025-01
2025-01-10,0,0,0.46958742,2025-01
2025-01-10,0,0,0.16786079,2025-01
2025-01-10,1,1,0.97548467,2025-01
2025-01-10,0,0,0.3607023,2025-01
2025-01-11,1,1,0.5469219,2025-01
2025-01-11,1,1,0.99888974,2025-01
2025-01-11,0,1,0.70329124,2025-01
2025-01-11,0,1,0.6643086,2025-01
2025-01-12,0,0,0.46525183,2025-01
2025-01-12,1,0,0.21808504,2025-01
2025-01-12,0,0,0.020486258,2025-01
2025-01-12,1,0,0.35957065,2025-01
2025-01-12,0,0,0.17314605,2025-01
2025-01-12,1,1,0.9652241,2025-01
2025-01-12,0,0,0.005058496,2025-01
2025-01-12,1,1,0.7787025,2025-01
2025-01-12,1,1,0.90190566,2025-01
2025-01-13,0,1,0.60975635,2025-01
2025-01-13,1,1,0.6600594,2025-01
2025-01-13,1,1,0.7139459,2025-01
2025-01-13,0,0,0.009191496,2025-01
2025-01-13,0,0,0.12763436,2025-01
2025-01-13,1,0,0.3049501,2025-01
2025-01-14,0,0,0.39904362,2025-01
2025-01-14,0,0,0.009485413,2025-01
2025-01-14,1,0,0.33763248,2025-01
2025-01-14,0,1,0.72982836,2025-01
2025-01-14,1,0,0.32772252,2025-01
2025-01-14,0,0,0.008508398,2025-01
2025-01-14,0,0,0.12472191,2025-01
2025-01-15,1,1,0.99207723,2025-01
2025-01-15,1,0,0.18227473,2025-01
2025-01-15,0,0,0.17277466,2025-01
2025-01-15,0,0,0.3756068,2025-01
2025-01-15,1,1,0.93405366,2025-01
2025-01-15,0,1,0.785233,2025-01
2025-01-15,1,1,0.98938084,2025-01
2025-01-15,0,1,0.6463478,2025-01
2025-01-15,1,1,0.53090197,2025-01
2025-01-15,0,0,0.0136340195,2025-01
2025-01-15,0,1,0.7745634,2025-01
2025-01-16,0,0,0.20669273,2025-01
2025-01-16,0,0,0.409838,2025-01
2025-01-16,1,1,0.9859907,2025-01
2025-01-16,0,0,0.018805241,2025-01
2025-01-16,1,0,0.48723918,2025-01
2025-01-17,1,1,0.8052846,2025-01
2025-01-17,0,1,0.62967336,2025-01
2025-01-17,1,0,0.007599063,2025-01
2025-01-17,0,0,0.028101675,2025-01
2025-01-17,1,1,0.9973029,2025-01
2025-01-17,1,1,0.9332765,2025-01
2025-01-17,0,0,0.07885277,2025-01
2025-01-17,0,0,0.118409164,2025-01
2025-01-17,1,1,0.88876146,2025-01
2025-01-18,0,0,0.026346276,2025-01
2025-01-18,0,0,0.3409596,2025-01
2025-01-18,1,1,0.99504745,2025-01
2025-01-18,1,1,0.99468225,2025-01
2025-01-18,0,0,0.22621347,2025-01
2025-01-18,0,1,0.82771283,2025-01
2025-01-19,1,1,0.9702923,2025-01
2025-01-19,0,0,0.038742136,2025-01
2025-01-19,1,1,0.9907012,2025-01
2025-01-19,1,1,0.99044305,2025-01
2025-01-19,1,1,0.98900443,2025-01
2025-01-19,1,1,0.69269234,2025-01
2025-01-19,1,1,0.99773216,2025-01
